Rule_ID,e_d (Forward Distance Error),e_d_dot (Forward Distance Error Rate),e_l (Lateral Error),e_l_dot (Lateral Error Rate),v (Linear Velocity),omega (Angular Velocity)
1,VN,NB,NB,NB,S,PB
2,VN,NB,NB,NS,S,PB
3,VN,NB,NB,ZO,S,PB
4,VN,NB,NB,PS,S,PB
5,VN,NB,NB,PB,S,PB
6,VN,NB,NS,NB,S,PB
7,VN,NB,NS,NS,S,PB
8,VN,NB,NS,ZO,S,PB
9,VN,NB,NS,PS,S,PB
10,VN,NB,NS,PB,S,PB
11,VN,NB,ZO,NB,S,PB
12,VN,NB,ZO,NS,S,PB
13,VN,NB,ZO,ZO,S,PS
14,VN,NB,ZO,PS,S,NB
15,VN,NB,ZO,PB,S,NB
16,VN,NB,PS,NB,S,NB
17,VN,NB,PS,NS,S,NB
18,VN,NB,PS,ZO,S,NB
19,VN,NB,PS,PS,S,NB
20,VN,NB,PS,PB,S,NB
21,VN,NB,PB,NB,S,NB
22,VN,NB,PB,NS,S,NB
23,VN,NB,PB,ZO,S,NB
24,VN,NB,PB,PS,S,NB
25,VN,NB,PB,PB,S,NB
26,VN,NS,NB,NB,S,PB
27,VN,NS,NB,NS,S,PB
28,VN,NS,NB,ZO,S,PB
29,VN,NS,NB,PS,S,PB
30,VN,NS,NB,PB,S,PB
31,VN,NS,NS,NB,S,PB
32,VN,NS,NS,NS,S,PB
33,VN,NS,NS,ZO,S,PB
34,VN,NS,NS,PS,S,PB
35,VN,NS,NS,PB,S,PB
36,VN,NS,ZO,NB,S,PB
37,VN,NS,ZO,NS,S,PB
38,VN,NS,ZO,ZO,S,PS
39,VN,NS,ZO,PS,S,NB
40,VN,NS,ZO,PB,S,NB
41,VN,NS,PS,NB,S,NB
42,VN,NS,PS,NS,S,NB
43,VN,NS,PS,ZO,S,NB
44,VN,NS,PS,PS,S,NB
45,VN,NS,PS,PB,S,NB
46,VN,NS,PB,NB,S,NB
47,VN,NS,PB,NS,S,NB
48,VN,NS,PB,ZO,S,NB
49,VN,NS,PB,PS,S,NB
50,VN,NS,PB,PB,S,NB
51,VN,ZO,NB,NB,S,PB
52,VN,ZO,NB,NS,S,PB
53,VN,ZO,NB,ZO,S,PB
54,VN,ZO,NB,PS,S,PB
55,VN,ZO,NB,PB,S,PB
56,VN,ZO,NS,NB,S,PB
57,VN,ZO,NS,NS,S,PB
58,VN,ZO,NS,ZO,S,PB
59,VN,ZO,NS,PS,S,PB
60,VN,ZO,NS,PB,S,PB
61,VN,ZO,ZO,NB,S,PB
62,VN,ZO,ZO,NS,S,PB
63,VN,ZO,ZO,ZO,S,PS
64,VN,ZO,ZO,PS,S,NB
65,VN,ZO,ZO,PB,S,NB
66,VN,ZO,PS,NB,S,NB
67,VN,ZO,PS,NS,S,NB
68,VN,ZO,PS,ZO,S,NB
69,VN,ZO,PS,PS,S,NB
70,VN,ZO,PS,PB,S,NB
71,VN,ZO,PB,NB,S,NB
72,VN,ZO,PB,NS,S,NB
73,VN,ZO,PB,ZO,S,NB
74,VN,ZO,PB,PS,S,NB
75,VN,ZO,PB,PB,S,NB
76,VN,PS,NB,NB,S,PB
77,VN,PS,NB,NS,S,PB
78,VN,PS,NB,ZO,S,PB
79,VN,PS,NB,PS,S,PB
80,VN,PS,NB,PB,S,PB
81,VN,PS,NS,NB,VS,PB
82,VN,PS,NS,NS,VS,PB
83,VN,PS,NS,ZO,VS,PB
84,VN,PS,NS,PS,VS,PB
85,VN,PS,NS,PB,VS,PB
86,VN,PS,ZO,NB,VS,PB
87,VN,PS,ZO,NS,VS,PB
88,VN,PS,ZO,ZO,VS,PS
89,VN,PS,ZO,PS,VS,NB
90,VN,PS,ZO,PB,VS,NB
91,VN,PS,PS,NB,VS,NB
92,VN,PS,PS,NS,VS,NB
93,VN,PS,PS,ZO,VS,NB
94,VN,PS,PS,PS,VS,NB
95,VN,PS,PS,PB,VS,NB
96,VN,PS,PB,NB,S,NB
97,VN,PS,PB,NS,S,NB
98,VN,PS,PB,ZO,S,NB
99,VN,PS,PB,PS,S,NB
100,VN,PS,PB,PB,S,NB
101,VN,PB,NB,NB,S,PB
102,VN,PB,NB,NS,S,PB
103,VN,PB,NB,ZO,S,PB
104,VN,PB,NB,PS,S,PB
105,VN,PB,NB,PB,S,PB
106,VN,PB,NS,NB,VS,PB
107,VN,PB,NS,NS,VS,PB
108,VN,PB,NS,ZO,VS,PB
109,VN,PB,NS,PS,VS,PB
110,VN,PB,NS,PB,VS,PB
111,VN,PB,ZO,NB,VS,PB
112,VN,PB,ZO,NS,VS,PB
113,VN,PB,ZO,ZO,VS,PS
114,VN,PB,ZO,PS,VS,NB
115,VN,PB,ZO,PB,VS,NB
116,VN,PB,PS,NB,VS,NB
117,VN,PB,PS,NS,VS,NB
118,VN,PB,PS,ZO,VS,NB
119,VN,PB,PS,PS,VS,NB
120,VN,PB,PS,PB,VS,NB
121,VN,PB,PB,NB,S,NB
122,VN,PB,PB,NS,S,NB
123,VN,PB,PB,ZO,S,NB
124,VN,PB,PB,PS,S,NB
125,VN,PB,PB,PB,S,NB
126,N,NB,NB,NB,S,PB
127,N,NB,NB,NS,S,PB
128,N,NB,NB,ZO,S,PB
129,N,NB,NB,PS,S,PB
130,N,NB,NB,PB,S,PB
131,N,NB,NS,NB,S,PB
