Rule_ID,e_d (Forward Distance Error),e_d_dot (Forward Distance Error Rate),e_l (Lateral Error),e_l_dot (Lateral Error Rate),v (Linear Velocity),omega (Angular Velocity)
1,VN,NB,NB,NB,S,PB
2,VN,NB,NB,NS,S,PB
3,VN,NB,NB,ZO,S,PB
4,VN,NB,NB,PS,S,PB
5,VN,NB,NB,PB,S,ZO
6,VN,NB,NS,NB,S,PB
7,VN,NB,NS,NS,S,PB
8,VN,NB,NS,ZO,S,PB
9,VN,NB,NS,PS,S,PB
10,VN,NB,NS,PB,S,ZO
11,VN,NB,ZO,NB,S,PB
12,VN,NB,ZO,NS,S,PB
13,VN,NB,ZO,ZO,S,ZO
14,VN,NB,ZO,PS,S,NB
15,VN,NB,ZO,PB,S,NB
16,VN,NB,PS,NB,S,ZO
17,VN,NB,PS,NS,S,NB
18,VN,NB,PS,ZO,S,NB
19,VN,NB,PS,PS,S,NB
20,VN,NB,PS,PB,S,NB
21,VN,NB,PB,NB,S,ZO
22,VN,NB,PB,NS,S,NB
23,VN,NB,PB,ZO,S,NB
24,VN,NB,PB,PS,S,NB
25,VN,NB,PB,PB,S,NB
26,VN,NS,NB,NB,S,PB
27,VN,NS,NB,NS,S,PB
28,VN,NS,NB,ZO,S,PB
29,VN,NS,NB,PS,S,PB
30,VN,NS,NB,PB,S,ZO
31,VN,NS,NS,NB,S,PB
32,VN,NS,NS,NS,S,PB
33,VN,NS,NS,ZO,S,PB
34,VN,NS,NS,PS,S,PB
35,VN,NS,NS,PB,S,ZO
36,VN,NS,ZO,NB,VS,PB
37,VN,NS,ZO,NS,VS,PB
38,VN,NS,ZO,ZO,VS,ZO
39,VN,NS,ZO,PS,VS,NB
40,VN,NS,ZO,PB,VS,NB
41,VN,NS,PS,NB,S,ZO
42,VN,NS,PS,NS,S,NB
43,VN,NS,PS,ZO,S,NB
44,VN,NS,PS,PS,S,NB
45,VN,NS,PS,PB,S,NB
46,VN,NS,PB,NB,S,ZO
47,VN,NS,PB,NS,S,NB
48,VN,NS,PB,ZO,S,NB
49,VN,NS,PB,PS,S,NB
50,VN,NS,PB,PB,S,NB
51,VN,ZO,NB,NB,S,PB
52,VN,ZO,NB,NS,S,PB
53,VN,ZO,NB,ZO,S,PB
54,VN,ZO,NB,PS,S,PB
55,VN,ZO,NB,PB,S,ZO
56,VN,ZO,NS,NB,S,PB
57,VN,ZO,NS,NS,S,PB
58,VN,ZO,NS,ZO,S,PB
59,VN,ZO,NS,PS,S,PB
60,VN,ZO,NS,PB,S,ZO
61,VN,ZO,ZO,NB,VS,PB
62,VN,ZO,ZO,NS,VS,PB
63,VN,ZO,ZO,ZO,VS,ZO
64,VN,ZO,ZO,PS,VS,NB
65,VN,ZO,ZO,PB,VS,NB
66,VN,ZO,PS,NB,S,ZO
67,VN,ZO,PS,NS,S,NB
68,VN,ZO,PS,ZO,S,NB
69,VN,ZO,PS,PS,S,NB
70,VN,ZO,PS,PB,S,NB
71,VN,ZO,PB,NB,S,ZO
72,VN,ZO,PB,NS,S,NB
73,VN,ZO,PB,ZO,S,NB
74,VN,ZO,PB,PS,S,NB
75,VN,ZO,PB,PB,S,NB
76,VN,PS,NB,NB,S,PB
77,VN,PS,NB,NS,S,PB
78,VN,PS,NB,ZO,S,PB
79,VN,PS,NB,PS,S,PB
80,VN,PS,NB,PB,S,ZO
81,VN,PS,NS,NB,S,PB
82,VN,PS,NS,NS,S,PB
83,VN,PS,NS,ZO,S,PB
84,VN,PS,NS,PS,S,PB
85,VN,PS,NS,PB,S,ZO
86,VN,PS,ZO,NB,S,PB
87,VN,PS,ZO,NS,S,PB
88,VN,PS,ZO,ZO,S,ZO
89,VN,PS,ZO,PS,S,NB
90,VN,PS,ZO,PB,S,NB
91,VN,PS,PS,NB,S,ZO
92,VN,PS,PS,NS,S,NB
93,VN,PS,PS,ZO,S,NB
94,VN,PS,PS,PS,S,NB
95,VN,PS,PS,PB,S,NB
96,VN,PS,PB,NB,S,ZO
97,VN,PS,PB,NS,S,NB
98,VN,PS,PB,ZO,S,NB
99,VN,PS,PB,PS,S,NB
100,VN,PS,PB,PB,S,NB
101,VN,PB,NB,NB,S,PB
102,VN,PB,NB,NS,S,PB
103,VN,PB,NB,ZO,S,PB
104,VN,PB,NB,PS,S,PB
105,VN,PB,NB,PB,S,ZO
106,VN,PB,NS,NB,S,PB
107,VN,PB,NS,NS,S,PB
108,VN,PB,NS,ZO,S,PB
109,VN,PB,NS,PS,S,PB
110,VN,PB,NS,PB,S,ZO
111,VN,PB,ZO,NB,S,PB
112,VN,PB,ZO,NS,S,PB
113,VN,PB,ZO,ZO,S,ZO
114,VN,PB,ZO,PS,S,NB
115,VN,PB,ZO,PB,S,NB
116,VN,PB,PS,NB,S,ZO
117,VN,PB,PS,NS,S,NB
118,VN,PB,PS,ZO,S,NB
119,VN,PB,PS,PS,S,NB
120,VN,PB,PS,PB,S,NB
121,VN,PB,PB,NB,S,ZO
122,VN,PB,PB,NS,S,NB
123,VN,PB,PB,ZO,S,NB
124,VN,PB,PB,PS,S,NB
125,VN,PB,PB,PB,S,NB
126,N,NB,NB,NB,S,PB
127,N,NB,NB,NS,S,PB
128,N,NB,NB,ZO,S,PB
129,N,NB,NB,PS,S,PB
130,N,NB,NB,PB,S,ZO
131,N,NB,NS,NB,S,PB
